contrast,condition_A,condition_B,mean_A,mean_B,difference,permutation_p,wilcoxon_p,holm_p,PASS
DIRECTION,A0_AUTHENTIC,D_DIRECTION_REVERSED,8.035,0.315,7.72,9.99990000099999e-06,1.9124369577716163e-18,0.00014999850001499987,True
ORDER,A0_AUTHENTIC,O_ORDER_SHUFFLED,8.035,3.695,4.34,9.99990000099999e-06,1.3564730740010648e-17,0.00014999850001499987,True
META_CONTROL,A0_AUTHENTIC,M_META_CONTROL_ABLATED,8.035,6.61,1.425,9.99990000099999e-06,2.4103876405621308e-06,0.00014999850001499987,True
PRESERVATION,A0_AUTHENTIC,P_PRESERVATION_ABLATED,8.035,4.09,3.945,9.99990000099999e-06,1.9478865757602932e-17,0.00014999850001499987,True
TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,8.035,3.11,4.925,9.99990000099999e-06,3.781253430161814e-17,0.00014999850001499987,True
COMPRESSION,A0_AUTHENTIC,C_COMPRESSION_ABLATED,8.035,7.9375,0.0975,0.3691963080369196,0.41024337595369237,0.3691963080369196,False
RECURSION_SPECIFICITY,A0_AUTHENTIC,R_RECURSION_CONTROL,8.035,1.0225,7.0125,9.99990000099999e-06,2.8025652412898963e-18,0.00014999850001499987,True
COMPLEXITY_SPECIFICITY,A0_AUTHENTIC,X_COMPLEXITY_CONTROL,8.035,5.8075,2.2275,9.99990000099999e-06,1.3563742817329757e-10,0.00014999850001499987,True
LINEAR_SPECIFICITY,A0_AUTHENTIC,L_LINEAR_CONTROL,8.035,1.0275,7.0075,9.99990000099999e-06,1.9246766914355777e-18,0.00014999850001499987,True
GRAPH_SPECIFICITY,A0_AUTHENTIC,G_RANDOM_GRAPH_CONTROL,8.035,0.0475,7.9875,9.99990000099999e-06,1.9137332421599248e-18,0.00014999850001499987,True
DIRECTION_META_LESION,A0_AUTHENTIC,DM_DIRECTION_META_DAMAGE,8.035,0.2875,7.7475,9.99990000099999e-06,1.9223964474398188e-18,0.00014999850001499987,True
DIRECTION_PRESERVATION_LESION,A0_AUTHENTIC,DP_DIRECTION_PRESERVATION_DAMAGE,8.035,1.3625,6.6725,9.99990000099999e-06,1.9827622882721e-18,0.00014999850001499987,True
ORDER_PRESERVATION_LESION,A0_AUTHENTIC,OP_ORDER_PRESERVATION_DAMAGE,8.035,0.7825,7.2525,9.99990000099999e-06,1.912113016754443e-18,0.00014999850001499987,True
PRESERVATION_TERMINAL_LESION,A0_AUTHENTIC,PT_PRESERVATION_TERMINAL_DAMAGE,8.035,1.1925,6.8425,9.99990000099999e-06,1.92141998416688e-18,0.00014999850001499987,True
HELDOUT_FINGERPRINT,H_AUTHENTIC_HELDOUT,H_DAMAGED_HELDOUT,3.5675,2.7025,0.865,8.99991000089999e-05,7.329759484873959e-05,0.0001799982000179998,True
