SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR,ORIGINAL_PHASE8G_DESTINATION,HYDRATION_VERSION
171,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\BLIND_SPLIT_COUNTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\BLIND_SPLIT_COUNTS.csv,00_CONTROL,92,5432cc5dec0d387246b74dce2ec5231efe7550972656397722225327620e356f,5432cc5dec0d387246b74dce2ec5231efe7550972656397722225327620e356f,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\BLIND_SPLIT_COUNTS.csv,PHASE8G_ORIGINAL_VERIFIED
172,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,05_OUTPUTS,1151,2102c0419199b64c11f54e9586a862da593cab3b504db6420cd64353e5419b85,2102c0419199b64c11f54e9586a862da593cab3b504db6420cd64353e5419b85,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,PHASE8G_ORIGINAL_VERIFIED
173,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,05_OUTPUTS,1180,1274dff954a6e022d82c821f923e4a2f47eb6140d8074ab8e5d47e73b0a0d9f7,1274dff954a6e022d82c821f923e4a2f47eb6140d8074ab8e5d47e73b0a0d9f7,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,PHASE8G_ORIGINAL_VERIFIED
174,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,09_FREEZE,5462,f49a55a54fff590dbe199bfdddca6ab53fbe110ecef3fcc81f56b28d2d0bf672,f49a55a54fff590dbe199bfdddca6ab53fbe110ecef3fcc81f56b28d2d0bf672,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,PHASE8G_ORIGINAL_VERIFIED
175,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_SHA256.txt,09_FREEZE,66,45f066cd80af751c8c37bcdf48a304d3e5df3a5514296f9ead128d2e8f5db1ee,45f066cd80af751c8c37bcdf48a304d3e5df3a5514296f9ead128d2e8f5db1ee,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
176,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\INPUT_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\INPUT_SHA256_MANIFEST.csv,09_FREEZE,1075,1e5422edcce07b7235d3a11c5b02bab5023cb0dcd6358e7dc6be5760aa082c6a,1e5422edcce07b7235d3a11c5b02bab5023cb0dcd6358e7dc6be5760aa082c6a,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\INPUT_SHA256_MANIFEST.csv,PHASE8G_ORIGINAL_VERIFIED
177,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\OUTPUT_FILE_INDEX.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\OUTPUT_FILE_INDEX.csv,05_OUTPUTS,2088,0bbc36efe061d0d09db794a4ecefd78991c659e09eb72f2a68461f96f6aed181,0bbc36efe061d0d09db794a4ecefd78991c659e09eb72f2a68461f96f6aed181,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\OUTPUT_FILE_INDEX.csv,PHASE8G_ORIGINAL_VERIFIED
178,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RESERVED_EXTERNAL_CONTROLS_NOT_READ.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RESERVED_EXTERNAL_CONTROLS_NOT_READ.txt,00_CONTROL,196,cce22e5615f9a107431f587b197b6cbfa27ab60aec76ee0a751ed0921643b9e2,cce22e5615f9a107431f587b197b6cbfa27ab60aec76ee0a751ed0921643b9e2,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RESERVED_EXTERNAL_CONTROLS_NOT_READ.txt,PHASE8G_ORIGINAL_VERIFIED
179,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RUN_F1_DEV_LMARENA_BLIND_R1.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\03_RUNNER\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RUN_F1_DEV_LMARENA_BLIND_R1.py,03_RUNNER,49259,ebbf613329d15a2bc2e73bbed7f5e0366d18e28bc6c14140b1746f351bd8ea5f,ebbf613329d15a2bc2e73bbed7f5e0366d18e28bc6c14140b1746f351bd8ea5f,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\03_RUNNER\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RUN_F1_DEV_LMARENA_BLIND_R1.py,PHASE8G_ORIGINAL_VERIFIED
180,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RUN_SCRIPT_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RUN_SCRIPT_SHA256.txt,09_FREEZE,66,dacee42184ebdb0785a72882e015c7297f16ed17950c03738215920a16f1cef4,dacee42184ebdb0785a72882e015c7297f16ed17950c03738215920a16f1cef4,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\RUN_SCRIPT_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
