SOURCE_PATH,DESTINATION_PATH,ORIGINAL_PHASE8G_DESTINATION,SIZE_BYTES,SHA256,HYDRATION_VERSION
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,2426,66cd8eddb9c71b4be2d684fbc77fe484af7514e2da8299630a3d341bb0875f4b,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_ZIP_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_ZIP_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_ZIP_SHA256.txt,66,05f87801526e0258d8caa25b47f905722b11e22802148be93664a17feb7219a4,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,1653,e9e98da3c650cf0568b0af90deba87f2db6bfb5e002e0a120edb91f240116bbb,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_FROZEN_SPEC_BEFORE_HOLDOUT.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_FROZEN_SPEC_BEFORE_HOLDOUT.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_FROZEN_SPEC_BEFORE_HOLDOUT.json,1044,b383be55594d959c47985c2147134d20504b4be3d00685853191c5b2ebd12cfd,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_FROZEN_SPEC_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_FROZEN_SPEC_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_FROZEN_SPEC_SHA256.txt,66,1c048531408c458e88c7ac9e6cab87b329c849d77e577bc82374287376682fce,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.json,3335,7b48617a87e0108ea8fcfca3a87cb21e1f707843d3c80ff9e1bd6580098c375e,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.txt,2086,1b9a3777db0cb1ea1a2ef0be82619858252247bca91c5ad596dec8d4b19b4364,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\RUNNER_SHA256.txt,177,d6c8d77ad75a9a66ac06a2fa59a29356c48697f92946ba0a2c25bf337b9afaab,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\02_MATCHED_NULLS\HARDENED_NULL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\02_MATCHED_NULLS\HARDENED_NULL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\02_MATCHED_NULLS\HARDENED_NULL_RESULTS.csv,303,c506d0dc083bb046bb16966ee29f0a2f73a9dbe3cc7d01da34be475ececd93d6,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\03_CLUSTER_CURVES_NO_FORCED_K\HOLDOUT_CLUSTER_CURVE_NO_FORCED_K.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\03_CLUSTER_CURVES_NO_FORCED_K\HOLDOUT_CLUSTER_CURVE_NO_FORCED_K.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\03_CLUSTER_CURVES_NO_FORCED_K\HOLDOUT_CLUSTER_CURVE_NO_FORCED_K.csv,1279,59684a3e3d020c33c8849476c0778ffcb632b857c950fe2dc0ae9074ce9807c9,PHASE8G_ORIGINAL_VERIFIED
