SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
242,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\09_FREEZE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,09_FREEZE,2423,9024e1461ea31f5037962ed971ffca3a6ec7fe355ffa82028b21aa8025e85921,9024e1461ea31f5037962ed971ffca3a6ec7fe355ffa82028b21aa8025e85921,True,COPIED_AND_VERIFIED,
243,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\ENVIRONMENT.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\00_CONTROL\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\ENVIRONMENT.json,00_CONTROL,280,18afac642a63e6a2da202928d373d38c1a7a369599b62b211b56c94794ad2783,18afac642a63e6a2da202928d373d38c1a7a369599b62b211b56c94794ad2783,True,COPIED_AND_VERIFIED,
244,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\FINAL_ZIP_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\09_FREEZE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\FINAL_ZIP_SHA256.txt,09_FREEZE,66,dc89ada4a28a4e1c81757c3228bc99ac19e4221e66d63e1bb38e14243f0b5752,dc89ada4a28a4e1c81757c3228bc99ac19e4221e66d63e1bb38e14243f0b5752,True,COPIED_AND_VERIFIED,
245,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\09_FREEZE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,09_FREEZE,1984,e3430a316f4bfe8b1fa6b5a4637636fe0766d86df8d699f2e961093a1085fb8b,e3430a316f4bfe8b1fa6b5a4637636fe0766d86df8d699f2e961093a1085fb8b,True,COPIED_AND_VERIFIED,
246,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\POWERSHELL_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\09_FREEZE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\POWERSHELL_RUNNER_SHA256.txt,09_FREEZE,66,64e17aecb1607aec660f9cbc13dcb7c83bce9217d5eace49cdda4e1189f1fd4b,64e17aecb1607aec660f9cbc13dcb7c83bce9217d5eace49cdda4e1189f1fd4b,True,COPIED_AND_VERIFIED,
247,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\05_OUTPUTS\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.json,05_OUTPUTS,3204,ddfaf3cb3518d7732fd086a54a2eea95dedda90270b95189e97fdbb226d028b6,ddfaf3cb3518d7732fd086a54a2eea95dedda90270b95189e97fdbb226d028b6,True,COPIED_AND_VERIFIED,
248,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\05_OUTPUTS\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.txt,05_OUTPUTS,1821,d4caa08e5927f4ec6aab82c75b86a1aaf2a6ba4db57c85b224196eb27d434c34,d4caa08e5927f4ec6aab82c75b86a1aaf2a6ba4db57c85b224196eb27d434c34,True,COPIED_AND_VERIFIED,
249,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\01_EXTRACTOR_UNIT_TESTS\EXTRACTOR_UNIT_TESTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\00_CONTROL\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\01_EXTRACTOR_UNIT_TESTS\EXTRACTOR_UNIT_TESTS.csv,00_CONTROL,383,b78bf80d117b26483dae386d6efe35d00db5afca93d95d68922e30c82418f31f,b78bf80d117b26483dae386d6efe35d00db5afca93d95d68922e30c82418f31f,True,COPIED_AND_VERIFIED,
250,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\02_AUTHENTIC_EDGE_PERTURBATIONS\AUTHENTIC_V12_EDGE_PERTURBATIONS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\00_CONTROL\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\02_AUTHENTIC_EDGE_PERTURBATIONS\AUTHENTIC_V12_EDGE_PERTURBATIONS.csv,00_CONTROL,81937,aa87f9ccf6234ad1d8177660d4f8d7cb8e262d00bc006ac9f7f00a8dfd87b263,aa87f9ccf6234ad1d8177660d4f8d7cb8e262d00bc006ac9f7f00a8dfd87b263,True,COPIED_AND_VERIFIED,
251,RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\02_AUTHENTIC_EDGE_PERTURBATIONS\AUTHENTIC_V12_PER_EDGE_DETECTION.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\00_CONTROL\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\02_AUTHENTIC_EDGE_PERTURBATIONS\AUTHENTIC_V12_PER_EDGE_DETECTION.csv,00_CONTROL,1460,b5ee8e793704de760349a3112933f7bf80a18998a5bf59f76edb3a1d7d8c057c,b5ee8e793704de760349a3112933f7bf80a18998a5bf59f76edb3a1d7d8c057c,True,COPIED_AND_VERIFIED,
