PARTITION,VARIABLE,N_CATEGORIES,NMI_WITH_U_ID,AMI_WITH_U_ID
DEVELOPMENT_VALIDATION,PROVIDER,9,0.005803880799833382,0.005240533751122042
DEVELOPMENT_VALIDATION,MODEL,53,0.009339573560609826,0.007029983385143487
DEVELOPMENT_VALIDATION,WINNER_RAW,4,0.0009441946065922387,0.000654652629708947
DEVELOPMENT_VALIDATION,PERSPECTIVE_LABEL,4,0.0015267600595756097,0.0012373870194641115
DEVELOPMENT_VALIDATION,LANGUAGE,50,0.01418477645080508,0.010255624354396394
DEVELOPMENT_VALIDATION,IS_CODE,2,0.17765567469202823,0.17754020888962224
DEVELOPMENT_VALIDATION,ERA_2025_06_08,2,8.411692441286636e-05,-5.0607994219673574e-05
DEVELOPMENT_HOLDOUT,PROVIDER,9,0.006814759241031773,0.00625558292604767
DEVELOPMENT_HOLDOUT,MODEL,52,0.00933332830708969,0.007078156962818764
DEVELOPMENT_HOLDOUT,WINNER_RAW,4,0.0013335536740054247,0.0010473223178859073
DEVELOPMENT_HOLDOUT,PERSPECTIVE_LABEL,4,0.0019461709715024478,0.0016601153397073237
DEVELOPMENT_HOLDOUT,LANGUAGE,54,0.015498504223527311,0.011235515929458165
DEVELOPMENT_HOLDOUT,IS_CODE,2,0.20306164527140017,0.20295092907846365
DEVELOPMENT_HOLDOUT,ERA_2025_06_08,2,0.0004207598274335733,0.00028706293396883444
