FEATURE_SET,PARTITION,MATCHED,N,N_POS,N_NEG,TRAIN_CV_AUC,TRAIN_CV_SD,C,AUC,CI_LOW,CI_HIGH,MW_P,PAIR_ACCURACY,PAIR_MEAN_DIFF,PAIR_BINOM_P
SURFACE_FREE,VALIDATION,False,121,105,16,0.9933333333333334,0.013333333333333286,1.0,0.9083333333333333,,,7.804890980177295e-08,,,
SURFACE_FREE,VALIDATION,True,32,16,16,0.9933333333333334,0.013333333333333286,1.0,0.859375,,,0.00028181716151240904,0.9375,0.4774366866318314,0.0002593994140625
SURFACE_FREE,HOLDOUT,False,312,137,175,0.9933333333333334,0.013333333333333286,1.0,0.8137434827945778,,,9.407258023115998e-22,,,
SURFACE_FREE,HOLDOUT,True,274,137,137,0.9933333333333334,0.013333333333333286,1.0,0.800069263146678,,,4.473938015697195e-18,0.8321167883211679,0.30024666405215367,5.452535130676175e-16
OPERATOR_RELATIONAL,VALIDATION,False,121,105,16,0.9751041666666665,0.045985070795978036,3.0,0.7113095238095238,,,0.0033387280248166605,,,
OPERATOR_RELATIONAL,VALIDATION,True,32,16,16,0.9751041666666665,0.045985070795978036,3.0,0.4921875,,,0.5375337127173299,0.5625,0.029516288469736085,0.4018096923828125
OPERATOR_RELATIONAL,HOLDOUT,False,312,137,175,0.9751041666666665,0.045985070795978036,3.0,0.6239833159541188,,,8.55461797713336e-05,,,
OPERATOR_RELATIONAL,HOLDOUT,True,274,137,137,0.9751041666666665,0.045985070795978036,3.0,0.6132452448185838,,,0.0005973728265987229,0.6277372262773723,0.18034769121180338,0.0017599966437206393
JOINT_MULTILAYER,VALIDATION,False,121,105,16,0.9983333333333334,0.0033333333333333214,0.01,0.9767857142857143,0.9505952380952382,0.9949553571428571,4.5296401251749957e-10,,,
JOINT_MULTILAYER,VALIDATION,True,32,16,16,0.9983333333333334,0.0033333333333333214,0.01,0.84765625,,,0.0004257778562473045,0.875,0.3088445338245451,0.0020904541015625
JOINT_MULTILAYER,HOLDOUT,False,312,137,175,0.9983333333333334,0.0033333333333333214,0.01,0.8489676746611053,0.8041897810218979,0.8907320125130344,1.8585890959924265e-26,,,
JOINT_MULTILAYER,HOLDOUT,True,274,137,137,0.9983333333333334,0.0033333333333333214,0.01,0.8271085300229102,,,3.9661548184449374e-21,0.8759124087591241,0.25469258402004413,1.4044857842012447e-20
R1_COMPATIBLE,VALIDATION,False,121,105,16,0.9933333333333334,0.008164965809277232,3.0,0.768452380952381,,,0.0002833445428764715,,,
R1_COMPATIBLE,VALIDATION,True,32,16,16,0.9933333333333334,0.008164965809277232,3.0,0.7109375,,,0.021881323147840786,0.6875,0.2372129978449674,0.1050567626953125
R1_COMPATIBLE,HOLDOUT,False,312,137,175,0.9933333333333334,0.008164965809277232,3.0,0.7055265901981231,,,2.3249978887682955e-10,,,
R1_COMPATIBLE,HOLDOUT,True,274,137,137,0.9933333333333334,0.008164965809277232,3.0,0.709893974106239,,,9.504274704182946e-10,0.7226277372262774,0.16039553122613445,9.38970964044645e-08
