model,seed,condition,rep,response_id,response_sha256,latency_seconds,OUTPUT_TOKENS,WORD_COUNT,TYPE_TOKEN_RATIO,RETURN,RECURRENCE,REUSE,META_CONTROL,PRESERVATION,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY,CONTROL,RELATIONAL,TOTAL
gpt-5.6-luna,0,A0_AUTHENTIC,0,resp_0a7c0dbbf4568869006aa314cbda0c87d28617f5556e64e97f,56d6e4ffb4c7bb209c80192c6fc395f5a503cec2bdceb03d57d535b15e069d76,4.401902675628662,122.0,104.0,0.6923076923076923,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,4.0,10.0
gpt-5.6-terra,0,A0_AUTHENTIC,0,resp_0872fed8ac6622df006aa314cbdd7c87d280360f2e0ac60554,b64f5586b5fc50ecb6ab21fe5cafbe0ed796cc9dcba7c19f3c21ba82a9387f39,3.4253265857696533,39.0,30.0,0.9,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0
gpt-5.6-sol,0,A0_AUTHENTIC,0,resp_0003ddb666cc2f29006aa314cbdd8887d2be9924ec65418787,e535b123ef60594e62d78d912b64ed967efaae89feb76739945d7baf8b98fa7a,5.109930038452148,68.0,56.0,0.9107142857142857,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,8.0
gpt-5.6-luna,0,A0_AUTHENTIC,1,resp_04770c51d37c6c25006aa314cbdde887d2b6641fac44db7b22,802be2e9b7ba26a13b2fe202068d85c24759dec2a4a3564a72557d94e41d1116,4.99703574180603,210.0,186.0,0.6774193548387096,0.0,0.0,0.0,2.0,4.0,4.0,2.0,3.0,2.0,5.0,8.0,15.0
gpt-5.6-terra,0,A0_AUTHENTIC,1,resp_08b903a69bb33c67006aa314cbe09087d2ba0120b343d17a46,4d376e2ad30be8430841e07b57c30278cf336e1a20edc700c018dddeab45db31,4.195004463195801,65.0,53.0,0.8679245283018868,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,9.0
gpt-5.6-sol,0,A0_AUTHENTIC,1,resp_09ed311a40fce32a006aa314cbe26087d2bc3782e235ea4cb3,0d04c4c324b2c90da12434d3768a86e6b0d90bc7ecb22ec3084822693c268ce8,5.719980716705322,70.0,58.0,0.8103448275862069,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0,10.0
gpt-5.6-luna,0,A0_AUTHENTIC,2,resp_08d0d16afd3e9f53006aa314cdde2887d2bc6bd04412b50d20,63f2e6717e6944b97b516e93fe5b5e402f2e8216ddb4d339bcffaa2480af62b0,3.188871383666992,160.0,140.0,0.7285714285714285,0.0,0.0,0.0,2.0,6.0,3.0,4.0,2.0,4.0,4.0,9.0,17.0
gpt-5.6-terra,0,A0_AUTHENTIC,2,resp_0c54a47e70a9daba006aa314cea3ec87d29ef0ababddcc2599,2f0b6126725b1bd1e77aecd3f56a8389985bff87dc4675304197490ccaa0c052,2.6947174072265625,87.0,74.0,0.7567567567567568,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,1.0,3.0,7.0,11.0
gpt-5.6-sol,0,A0_AUTHENTIC,2,resp_0fd08f70297653c0006aa314cedee087d29cf6bfaca5c2f588,ccdac499e084ffcb2a3bb9992bb7584fcb796c2f2e3cc92282b733a185e31427,2.934570789337158,75.0,64.0,0.828125,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0
gpt-5.6-luna,0,A1_SURFACE_PARAPHRASE,0,resp_032f2cd8617de14f006aa314cf6fb087d28c1d290fe61e4611,a4087fceeb2aeac05103a1497a7f13a769eac19268d10d82d06a1c794cc198c3,2.530959129333496,117.0,104.0,0.75,0.0,0.0,0.0,2.0,5.0,3.0,1.0,2.0,1.0,4.0,8.0,13.0
gpt-5.6-terra,0,A1_SURFACE_PARAPHRASE,0,resp_00086e62b5d1bd65006aa314cf936887d28a4940c916892c2a,5cbfa6473ae6dd8598f5a6797e5ae47c9d61b15f307840900bbd3dba13001364,3.220494031906128,105.0,89.0,0.8089887640449438,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,6.0,11.0
gpt-5.6-sol,0,A1_SURFACE_PARAPHRASE,0,resp_023076f47caff449006aa314d025a087d28c81573a80703293,b001feeb73d30af74810c780960ea7c8a7cfe2ff4dbef10f5edf18f1919196bd,2.531027317047119,74.0,63.0,0.8571428571428571,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0
gpt-5.6-luna,0,A1_SURFACE_PARAPHRASE,1,resp_0001bdc2f11ca6c9006aa314d1102087d2bcddd2ada5f2850c,fbcb1441870ef26ee24d50cc91a4607f54f4f0b0e1b4fbc833f6b15310f963e5,2.2654597759246826,89.0,77.0,0.8441558441558441,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,10.0
gpt-5.6-terra,0,A1_SURFACE_PARAPHRASE,1,resp_02409ac38dd4cdfd006aa314d15ce887d28e8d5330417a32c9,53e5b2cc94bf8b39cdd683bfd1e59b55eac62c536c20037fa010d1be31c326e1,2.649707794189453,57.0,48.0,0.875,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0
gpt-5.6-sol,0,A1_SURFACE_PARAPHRASE,1,resp_02c2f534b19a8eea006aa314d1c9a887d2b06bf7d443cc7144,48f46ede8880c4789e3b98d55cf882a821daa1e3ca72b0df5698ca9061a035b4,2.800929546356201,60.0,50.0,0.82,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0
gpt-5.6-luna,0,A1_SURFACE_PARAPHRASE,2,resp_038cd1a91fc3a7ff006aa314d1fdc487d280b09f7600785d6d,96f633f70601b3f2dc5c6ca9d752ca32faa5710cb90e7f38634502334c7538b8,2.984860420227051,99.0,87.0,0.7586206896551724,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,8.0
gpt-5.6-terra,0,A1_SURFACE_PARAPHRASE,2,resp_0dd5bf16f083cfa4006aa314d2b86887d2aef51f5e34994c21,806caf02c1afd44907a0d21ec18522249b14e3eaac0dcf3be5730d8fa84e5ba8,2.396347761154175,64.0,54.0,0.8888888888888888,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,5.0
gpt-5.6-sol,0,A1_SURFACE_PARAPHRASE,2,resp_0febc06de72eaa87006aa314d2cbd487d2bc51c644b6ea9ed4,5e84dffeaac3665e9a948de942274ae84148909b85328df280a968d8ee901640,2.476482391357422,67.0,57.0,0.8596491228070176,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,5.0
gpt-5.6-luna,0,A2_SURFACE_PARAPHRASE,0,resp_09eb589bc90d23ea006aa314d3571887d2a90c968d13683d25,01016c46414a409f3aaac10a759c9be2b29a760ae7633f20f769812d58c23c71,1.9719116687774658,79.0,68.0,0.7941176470588235,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,6.0
gpt-5.6-terra,0,A2_SURFACE_PARAPHRASE,0,resp_05913dffec5ddb1b006aa314d3fbcc87d28b108cbdabcc91cf,0d2765f213dde2cdce23e9b720da7a8f2358c48204621c0d0b77dbf588ad1818,2.9715685844421387,67.0,56.0,0.8214285714285714,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,7.0
gpt-5.6-sol,0,A2_SURFACE_PARAPHRASE,0,resp_023f57733ce3ead8006aa314d49b3087d28050e26c5845d76e,f53fc806e0a21a4fd3e84c9b0928a103b9f795b486fd8761ef6e7d47c8a2f938,2.839500904083252,48.0,39.0,0.8974358974358975,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
gpt-5.6-luna,0,A2_SURFACE_PARAPHRASE,1,resp_0f21fb8fc91e38a1006aa314d509d887d2a558aeb5a59669e1,a2cef78bd25d2596effb8e98f5868c4ed92300b1bfb161d5d4a52f16470402cf,2.5590133666992188,127.0,111.0,0.7207207207207207,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,5.0,12.0
gpt-5.6-terra,0,A2_SURFACE_PARAPHRASE,1,resp_0a56a396b3f79e20006aa314d515b487d29af18549d739c008,2eea4801bdf9a35e5f8334bcf5e1af02a1c2fe38ee355ca508951b8a3561e616,1.6861517429351807,34.0,28.0,0.9642857142857143,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,5.0
gpt-5.6-sol,0,A2_SURFACE_PARAPHRASE,1,resp_04ff80377f478728006aa314d54b0087d29eaf6acf0605d5b3,d8ff2d23daa1221668198d98f12a38e812bdde53240c6c389acef6a1e7dd9232,3.4073779582977295,65.0,55.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,6.0
gpt-5.6-luna,0,A2_SURFACE_PARAPHRASE,2,resp_0c408ff05b47faf3006aa314d587a887d28a2761b8dc2289ac,5f5a0ffbe5b584169a3aa797af3debc80d3e2ad1835166267d06fcec32ed2961,3.115522861480713,114.0,101.0,0.7821782178217822,0.0,0.0,0.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,7.0,12.0
gpt-5.6-terra,0,A2_SURFACE_PARAPHRASE,2,resp_0fb0222df3bbc1f8006aa314d6c38087d2add3afbe950fa912,53ffa128a60b7801022de2fa94b82e90336297cd88d23cab644a9a90a16c34a4,1.4970953464508057,22.0,17.0,0.9411764705882353,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
gpt-5.6-sol,0,A2_SURFACE_PARAPHRASE,2,resp_0d8af7226137bd42006aa314d6f4e487d2aa109ac4449cf6c6,08afd956f01d51b4b611dc798832f9d80dc807a2ab0df9cef257686d85f9d935,3.132798910140991,61.0,51.0,0.7647058823529411,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,6.0
