RUN_ID,CANONICAL_ID,CANONICAL_NAME,FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,MATCHED_ALIASES,SOURCE_CLUSTER,ROLE_SIGNALS,DISCOVERY_CLASS
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\__pycache__\RUN_F1_BR2_LMARENA_MATCHED_CONTROL.cpython-313.pyc,RUN_F1_BR2_LMARENA_MATCHED_CONTROL.cpython-313.pyc,.pyc,30608,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,RUNTIME_OR_LIBRARY
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\__pycache__\RUN_F1_BR2_V2_EXACT_EXTRACTOR.cpython-313.pyc,RUN_F1_BR2_V2_EXACT_EXTRACTOR.cpython-313.pyc,.pyc,41240,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,RUNTIME_OR_LIBRARY
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,.zip,2110934,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,RESULT,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\LMARENA_SEARCH_INDEX.csv,LMARENA_SEARCH_INDEX.csv,.csv,12228075,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\LMARENA_SEARCH_INDEX.parquet,LMARENA_SEARCH_INDEX.parquet,.parquet,3987486,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\train-00000-of-00007__BLIND_STRUCTURAL_MATRIX.parquet,train-00000-of-00007__BLIND_STRUCTURAL_MATRIX.parquet,.parquet,3513745,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\train-00000-of-00007__DEVELOPMENT_HOLDOUT.parquet,train-00000-of-00007__DEVELOPMENT_HOLDOUT.parquet,.parquet,36603397,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\train-00000-of-00007__DEVELOPMENT_TRAIN.parquet,train-00000-of-00007__DEVELOPMENT_TRAIN.parquet,.parquet,74349865,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\train-00000-of-00007__DEVELOPMENT_VALIDATION.parquet,train-00000-of-00007__DEVELOPMENT_VALIDATION.parquet,.parquet,36926849,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\train-00000-of-00007__V12_V18_ARMS.parquet,train-00000-of-00007__V12_V18_ARMS.parquet,.parquet,147680042,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
