SOURCE_FAMILY,ROLE,AUTHORITY,PATH,EXISTS,TYPE
F1,FINAL_AUTHORITY_ROOT,AUTHORITATIVE_REUSE,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE,True,DIRECTORY
V11,CLEAN_REPAIRED_AUTHORITY,AUTHORITATIVE_REUSE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,True,DIRECTORY
V12,FINAL_FREEZE_ROOT,AUTHORITATIVE_REUSE,C:\RSOS\V12_FINAL_FREEZE,True,DIRECTORY
WF1-P0,COMPLETED_EXPERIMENT_ROOT,AUTHORITATIVE_REUSE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,True,DIRECTORY
WF1-A,CORRECTIVE_EXPERIMENT_ROOT,AUTHORITATIVE_REUSE_WITH_FINAL_BRANCH_FILTER,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,True,DIRECTORY
WF1-B,FINAL_AUTHORITY_R3,AUTHORITATIVE_REUSE,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\09_ADJUDICATION\WF1_B_FINAL_AUTHORITY_R3,True,DIRECTORY
WF1-B,FRESH_CONFIRMATION_R3,AUTHORITATIVE_REUSE_IF_REFERENCED_BY_FINAL_AUTHORITY,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\07_OUTPUT\FRESH_SHARD14_CONFIRMATION_R3,True,DIRECTORY
WF2,FINAL_FREEZE_ROOT,AUTHORITATIVE_REUSE,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\08_FINAL_FREEZE,True,DIRECTORY
F2,DETERMINISTIC_REPRESENTATION_AUTHORITY,AUTHORITATIVE_REUSE,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip,True,FILE
F2,CORRECTED_EXTERNAL_RARITY_AUTHORITY,AUTHORITATIVE_REUSE,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_B_EXTERNAL_POPULATION_PARQUET\WF1_B_FINAL_AUTHORITY_R3\07_AUDIT\F2_B_SUMMARY.json,True,FILE
F2,ERROR_CORRECTED_REBUILD_AUTHORITY,AUTHORITATIVE_REUSE,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\08_FINAL_FREEZE\PASSIVE_MIXED_VERSION_BRIDGE\WF2_RUN_PASSIVE_MIXED_VERSION.py,True,FILE
