"CATEGORY","FILE_COUNT","STATUS"
"01_HISTORICAL_GENEALOGY_REPRESENTATION","555","IDENTIFIED"
"02_SAME_AUTHOR_CONTROL","0","NOT_IDENTIFIED_BY_METADATA_SCAN"
"03_PRE_LINEAGE","0","NOT_IDENTIFIED_BY_METADATA_SCAN"
"04_RELATIONAL_TOPOLOGICAL","1390","IDENTIFIED"
"05_EXTERNAL_POPULATION","33310","IDENTIFIED"
"06_WF2_CROSS_SYSTEM","31982","IDENTIFIED"
"07_FEATURE_EXTRACTOR","48","IDENTIFIED"
"08_DETECTOR_MODEL","659","IDENTIFIED"
"09_TEMPORAL_METADATA","908","IDENTIFIED"
"10_EXCLUSION_DEDUP","478","IDENTIFIED"
"11_POPULATION_DATASET","404","IDENTIFIED"
