"SEARCH_PATTERN","FILE_NAME","SIZE_MB","FULL_PATH"
"*chronolog*","RELINK_V4_FULL7_CHRONOLOGY.py","0,006","C:\RSOS\RELINK_V4_FULL7_CHRONOLOGY.py"
"*chronolog*","V4_EXTERNAL_FULL7_RELINKED_CHRONOLOGY.csv","0","C:\RSOS\RSOS  Python Results\KEXT_V4_FULL_RESTART_RESULTS\V4_EXTERNAL_FULL7_RELINKED_CHRONOLOGY.csv"
"*chronolog*","EARLIEST_TRIGGER_REACTION_CHRONOLOGY.csv","0,017","C:\RSOS\RSOS  Python Results\RSOS_TRIGGER_FINGERPRINT_RESULTS\EARLIEST_TRIGGER_REACTION_CHRONOLOGY.csv"
"*chronolog*","V4_EXTERNAL_FULL7_RELINKED_CHRONOLOGY.csv","0","C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\KEXT_V4_FULL_RESTART_RESULTS\V4_EXTERNAL_FULL7_RELINKED_CHRONOLOGY.csv"
"*chronolog*","EARLIEST_TRIGGER_REACTION_CHRONOLOGY.csv","0,017","C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\RSOS_TRIGGER_FINGERPRINT_RESULTS\EARLIEST_TRIGGER_REACTION_CHRONOLOGY.csv"
"*edge*","02_F1_FINAL_STATUS_LEDGER.csv","0,004","C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\02_F1_FINAL_STATUS_LEDGER.csv"
"*edge*","02_F1_FINAL_STATUS_LEDGER.csv","0,004","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\02_F1_FINAL_STATUS_LEDGER.csv"
"*edge*","10_UNAVAILABLE_SOURCE_LEDGER.csv","0","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\10_UNAVAILABLE_SOURCE_LEDGER.csv"
"*edge*","FINAL_EDGE_PREVALENCE.csv","0,002","C:\RSOS\RSOS  Python Results\FINAL_FALSIFICATION_RESULTS\FINAL_EDGE_PREVALENCE.csv"
"*edge*","EXTERNAL_EDGE_PREVALENCE.csv","0,002","C:\RSOS\RSOS  Python Results\KERNEL_GRAPH_EXTERNAL_CONTROL\EXTERNAL_EDGE_PREVALENCE.csv"
"*edge*","V4_EDGE_PREVALENCE.csv","0,002","C:\RSOS\RSOS  Python Results\KEXT_V4_FULL_RESTART_RESULTS\V4_EDGE_PREVALENCE.csv"
"*edge*","KERNEL_EDGE_CROSS_ANALYSIS_FREQUENCY.csv","0,001","C:\RSOS\RSOS  Python Results\RSOS_KERNEL_CONVERGENCE_RESULTS\KERNEL_EDGE_CROSS_ANALYSIS_FREQUENCY.csv"
"*edge*","24_EDGE_CAUSAL_MAP.csv","0,008","C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\24_EDGE_CAUSAL_MAP.csv"
"*edge*","24A_EDGE_REPLICATION.csv","0,002","C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\24A_EDGE_REPLICATION.csv"
"*edge*","24_EDGE_CAUSAL_MAP.csv","0,008","C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\24_EDGE_CAUSAL_MAP.csv"
"*edge*","24A_EDGE_REPLICATION.csv","0,002","C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\24A_EDGE_REPLICATION.csv"
"*edge*","24_EDGE_CAUSAL_MAP.csv","0,008","C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\24_EDGE_CAUSAL_MAP.csv"
