"AUTHORITY","CATEGORIES","REUSE_DECISION","FILE_NAME","EXTENSION","SIZE_BYTES","SIZE_MB","LAST_WRITE_UTC","FULL_PATH","PHASE0_CONTENT_OPENED","UPSTREAM_MUTATED"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip",".zip","312923719","298,427","2026-09-11T20:12:48.6242420Z","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","RUN_F1_BR2_LMARENA_MATCHED_CONTROL.cpython-313.pyc",".pyc","30608","0,029","2026-09-11T19:57:10.8049535Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\__pycache__\RUN_F1_BR2_LMARENA_MATCHED_CONTROL.cpython-313.pyc","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip",".zip","2110934","2,013","2026-09-11T19:43:24.4204243Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LMARENA_SEARCH_INDEX.csv",".csv","12228075","11,662","2026-09-11T16:08:10.2512930Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\00_INPUTS\LMARENA_SEARCH_INDEX.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","FROZEN_INPUT_SHA256.csv",".csv","1094","0,001","2026-09-11T19:57:18.8742368Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\00_MANIFEST\FROZEN_INPUT_SHA256.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","INPUT_MANIFEST_CROSSCHECK.csv",".csv","1792","0,002","2026-09-11T19:57:24.1415831Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\00_MANIFEST\INPUT_MANIFEST_CROSSCHECK.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","COMPLETE_CURRENT_OUTPUT_SHA256.csv",".csv","61539","0,059","2026-09-11T19:57:25.5197258Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\COMPLETE_CURRENT_OUTPUT_SHA256.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","INPUT_SHA256.txt",".txt","1668","0,002","2026-09-11T19:57:26.0449215Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\INPUT_SHA256.txt","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","PACKAGE_STATUS.txt",".txt","520","0","2026-09-11T19:57:26.2146684Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\PACKAGE_STATUS.txt","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","build_message_mentions.py",".py","2250","0,002","2026-09-11T19:57:26.5227310Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\02_LABELS\build_message_mentions.py","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","MESSAGE_LINEAGE_MENTIONS.csv",".csv","3430610","3,272","2026-09-11T19:57:26.5217564Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\02_LABELS\MESSAGE_LINEAGE_MENTIONS.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_NEG_IDS.json",".json","3268","0,003","2026-09-11T19:57:27.3866635Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\EARLY_NEG_IDS.json","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_NEG_MATCH_REGISTRY.csv",".csv","8364","0,008","2026-09-11T19:57:27.3896548Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\EARLY_NEG_MATCH_REGISTRY.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_POS_IDS.json",".json","1849","0,002","2026-09-11T19:57:27.9533546Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\EARLY_POS_IDS.json","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_POS_USABLE.csv",".csv","2093","0,002","2026-09-11T19:57:27.9553534Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\EARLY_POS_USABLE.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","HOLDOUT_MATCHED_PAIRS.csv",".csv","3661","0,003","2026-09-11T19:57:28.2170606Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\HOLDOUT_MATCHED_PAIRS.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LATER_HOLD_NEG_IDS.json",".json","7568","0,007","2026-09-11T19:57:28.8118158Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_HOLD_NEG_IDS.json","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LATER_HOLD_POS_IDS.json",".json","6235","0,006","2026-09-11T19:57:29.5352911Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_HOLD_POS_IDS.json","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LATER_NEG_POOL_REGISTRY.csv",".csv","16296","0,016","2026-09-11T19:57:30.1606019Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_NEG_POOL_REGISTRY.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LATER_POS_REGISTRY.csv",".csv","22302","0,021","2026-09-11T19:57:30.3354642Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_POS_REGISTRY.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LATER_VAL_NEG_IDS.json",".json","688","0,001","2026-09-11T19:57:30.4250262Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_VAL_NEG_IDS.json","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","LATER_VAL_POS_IDS.json",".json","4687","0,004","2026-09-11T19:57:30.5464780Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_VAL_POS_IDS.json","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","VALIDATION_MATCHED_PAIRS.csv",".csv","454","0","2026-09-11T19:57:30.8021320Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\VALIDATION_MATCHED_PAIRS.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","build_f1_features.py",".py","12174","0,012","2026-09-11T19:57:36.6754284Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\build_f1_features.py","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_NEG_DROPOUT_FEATURES.csv",".csv","94982","0,091","2026-09-11T19:57:31.2333973Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\EARLY_NEG_DROPOUT_FEATURES.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_NEG_FEATURES.csv",".csv","95072","0,091","2026-09-11T19:57:31.4546801Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\EARLY_NEG_FEATURES.csv","False","False"
"F1","01_HISTORICAL_GENEALOGY_REPRESENTATION","REUSE_OR_REFERENCE_CANDIDATE","EARLY_POS_DROPOUT_FEATURES.csv",".csv","32880","0,031","2026-09-11T19:57:32.2168555Z","C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\EARLY_POS_DROPOUT_FEATURES.csv","False","False"
