"SOURCE_FAMILY","AUTHORITY_ROLE","CATEGORY","FILE_NAME","FULL_PATH","SIZE_BYTES","EXACT_AUTHORITY_ANCHOR"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv","1554","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip","2110934","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip","312923719","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","F1_DEV_LMARENA_BLIND_R1.zip","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip","11798185","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip","125986400","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip","63138359","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","02_F1_FINAL_STATUS_LEDGER.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\02_F1_FINAL_STATUS_LEDGER.csv","4034","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","03_F1_FINAL_ADJUDICATION.md","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\03_F1_FINAL_ADJUDICATION.md","2696","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","04_F1_CLAIM_LADDER.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\04_F1_CLAIM_LADDER.csv","677","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","05_F2_FROZEN_PREOPEN_SPEC.md","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\05_F2_FROZEN_PREOPEN_SPEC.md","3214","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","07_CHAIN_OF_CUSTODY.json","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\07_CHAIN_OF_CUSTODY.json","2775","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv","2015","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","09_LOCAL_SOURCE_RESOLUTION.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\09_LOCAL_SOURCE_RESOLUTION.csv","1899","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","10_UNAVAILABLE_SOURCE_LEDGER.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\10_UNAVAILABLE_SOURCE_LEDGER.csv","295","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","11_LOCAL_FREEZE_CORRECTION.txt","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\11_LOCAL_FREEZE_CORRECTION.txt","720","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","12_RAW_CORPUS_SHA256_MANIFEST.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\12_RAW_CORPUS_SHA256_MANIFEST.csv","4096","False"
"F1","FINAL_AUTHORITY_ROOT","AUTHORITY_RECORD","13_LOCAL_FINAL_CONTENT_MANIFEST.csv","C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\13_LOCAL_FINAL_CONTENT_MANIFEST.csv","2494","False"
