SOURCE_FAMILY,CLASSIFICATION,FILE_NAME,FULL_PATH,INVALID_EXCERPT,DEVELOPMENT_EXCERPT
V12,DEVELOPMENT_AUDIT_ONLY,DATASET_MANIFEST.json,C:\RSOS\Training data\LMARENA_V12_V18_UPDATED\00_MANIFEST\DATASET_MANIFEST.json,,"6:08:10.255707+00:00"", ""source_directory"": ""C:\\RSOS\\Training data\\training data"", ""output_directory"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_use_allowed"": false, ""lmarena_parquet_pattern"": ""train-*-of-00007.parquet"", ""lmarena_shards_ingested"": [ ""train-00000-of-00007.parquet"" ], ""reserved_"
V12,DEVELOPMENT_AUDIT_ONLY,R5_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,,"ons"": 0, ""combined_holdout_min_distance"": 3.5962672296580367, ""combined_holdout_exact_6dp_collisions"": 0, ""interpretation"": { ""graph_specificity"": ""Development collision audit only"", ""operator_specificity"": ""Structural operator calibration only"", ""combined_specificity"": ""Development collision audit only"", ""rsos_specific_real_corpus"": ""UNTESTED"", "
F2,DEVELOPMENT_AUDIT_ONLY,F1_DEV_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""completed_utc"": ""2026-09-11T16:27:47.976916+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""rows"": 38754, ""train_rows"": 19406, ""validation_rows"": 9634, ""development_holdout_rows"": 9714, ""primary_feature_count"": 14, ""pca_components"": 10, ""selected_k"": 3, "
F2,DEVELOPMENT_AUDIT_ONLY,F1_DEV_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,,"F1-DEV LM ARENA BLIND STRUCTURAL REDISCOVERY R1 ROLE DEVELOPMENT ONLY ROWS Total: 38,754 Train: 19,406 Validation: 9,634 Development holdout: 9,714 PRIMARY STRUCTURAL FEATURES 14 PCA COMPONENTS 10 SELECTED BLIND U-CLUSTERS 3 RELATIONAL DEPENDEN"
F2,DEVELOPMENT_AUDIT_ONLY,F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""frozen_utc"": ""2026-09-11T16:27:44.785147+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_claim_allowed"": false, ""master_seed"": 120918, ""blind_source"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED\\04_BLIND_STRUCTURAL_MATRIX\\train-00000-of-0"
F2,DEVELOPMENT_AUDIT_ONLY,F1_DEV_STATUS_LEDGER.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\06_STATUS_LEDGER\F1_DEV_STATUS_LEDGER.csv,,"_FIRST_ROW_RETENTION,PASS,1.0,DEVELOPMENT RELATIONAL_DEPENDENCE_CALIBRATION,STRONG_RELATIONAL_RECOVERABILITY,0.9878275419853179,DEVELOPMENT BLIND_STRUCTURAL_DISCOVERY,MEASURED,3.0,DEVELOPMENT_ONLY LLM_GATED_COMPARATOR,UNTESTED,,NONE F2_EXTERNAL_POPULATION_RARITY,NOT_RUN_RESERVED,,NONE F3_PROSPECTIVE_REPLICATION,NOT_ELIGIBLE_HISTORICAL_DATA,,NONE "
V12,DEVELOPMENT_AUDIT_ONLY,R5_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,,"ons"": 0, ""combined_holdout_min_distance"": 3.5962672296580367, ""combined_holdout_exact_6dp_collisions"": 0, ""interpretation"": { ""graph_specificity"": ""Development collision audit only"", ""operator_specificity"": ""Structural operator calibration only"", ""combined_specificity"": ""Development collision audit only"", ""rsos_specific_real_corpus"": ""UNTESTED"", "
F2,DEVELOPMENT_AUDIT_ONLY,F1_DEV_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""completed_utc"": ""2026-09-11T16:27:47.976916+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""rows"": 38754, ""train_rows"": 19406, ""validation_rows"": 9634, ""development_holdout_rows"": 9714, ""primary_feature_count"": 14, ""pca_components"": 10, ""selected_k"": 3, "
F2,DEVELOPMENT_AUDIT_ONLY,F1_DEV_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,,"F1-DEV LM ARENA BLIND STRUCTURAL REDISCOVERY R1 ROLE DEVELOPMENT ONLY ROWS Total: 38,754 Train: 19,406 Validation: 9,634 Development holdout: 9,714 PRIMARY STRUCTURAL FEATURES 14 PCA COMPONENTS 10 SELECTED BLIND U-CLUSTERS 3 RELATIONAL DEPENDEN"
F2,DEVELOPMENT_AUDIT_ONLY,F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""frozen_utc"": ""2026-09-11T16:27:44.785147+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_claim_allowed"": false, ""master_seed"": 120918, ""blind_source"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED\\04_BLIND_STRUCTURAL_MATRIX\\train-00000-of-0"
