SOURCE_FAMILY,AUTHORITY_ROLE,CATEGORY,FILE_NAME,FULL_PATH,EXTENSION,ROW_COUNT,COLUMN_COUNT,COLUMNS,ID_COLUMNS,TIME_COLUMNS,CONTROL_COLUMNS,FEATURE_COLUMNS,POPULATION_ID_COLUMNS,V15_CANDIDATE_SCORE,ERROR
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,.csv,,5,LABEL|FILE|BYTES|SHA256|ROLE,,,LABEL,,,4,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,02_F1_FINAL_STATUS_LEDGER.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\02_F1_FINAL_STATUS_LEDGER.csv,.csv,,3,MEASUREMENT_OR_CLAIM|STATUS|DETAIL,,,,,,0,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,04_F1_CLAIM_LADDER.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\04_F1_CLAIM_LADDER.csv,.csv,,3,LEVEL|CLAIM|F1_STATUS,,,,,,0,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,07_CHAIN_OF_CUSTODY.json,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\07_CHAIN_OF_CUSTODY.json,.json,,8,freeze_name|freeze_timestamp_utc|classification|source_archives|reserved_f2_data_read_in_f1|reserved_f2_data|next_stage|immutability_rule,,freeze_timestamp_utc|next_stage,classification,,,7,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv,.csv,,3,RELATIVE_PATH|BYTES|SHA256,,,,,,0,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,09_LOCAL_SOURCE_RESOLUTION.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\09_LOCAL_SOURCE_RESOLUTION.csv,.csv,,6,Label|File|SourcePath|Bytes|SHA256|Status,,,Label,,,4,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,10_UNAVAILABLE_SOURCE_LEDGER.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\10_UNAVAILABLE_SOURCE_LEDGER.csv,.csv,,5,Label|File|ExpectedSHA256|Status|Interpretation,,,Label,,,4,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,12_RAW_CORPUS_SHA256_MANIFEST.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\12_RAW_CORPUS_SHA256_MANIFEST.csv,.csv,,4,File|FullName|Bytes|SHA256,,,,,,0,
F1,FINAL_AUTHORITY_ROOT,AUTHORITY_RECORD,13_LOCAL_FINAL_CONTENT_MANIFEST.csv,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\13_LOCAL_FINAL_CONTENT_MANIFEST.csv,.csv,,3,RelativePath|Bytes|SHA256,,,,,,0,
F2,CORRECTED_EXTERNAL_RARITY_AUTHORITY,RELATIONAL_TOPOLOGICAL,F2_B_SUMMARY.json,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_B_EXTERNAL_POPULATION_PARQUET\WF1_B_FINAL_AUTHORITY_R3\07_AUDIT\F2_B_SUMMARY.json,.json,,8,experiment|raw_rows_seen|usable_unique|primary_n|selection|headline_90pct_tolerance|cem_gate|claim_boundary,,headline_90pct_tolerance,,,,3,
