FILE_NAME,FULL_PATH,EXISTS,SIZE_BYTES,SHARD_NUMBER,ROW_COUNT,COLUMN_COUNT,COLUMNS,POPULATION_ID_COLUMNS,EXACT_UPSTREAM_REFERENCE,SHARD_UPSTREAM_REFERENCE,PRELIMINARY_STATUS,ERROR
train-00014-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\FRESH_CONFIRMATION\train-00014-of-00086.parquet,True,168003355,14,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00007-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00007-of-00086.parquet,True,119347100,7,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00022-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00022-of-00086.parquet,True,138085341,22,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00041-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00041-of-00086.parquet,True,85601395,41,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00049-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00049-of-00086.parquet,True,103170595,49,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00051-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00051-of-00086.parquet,True,156188404,51,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00052-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00052-of-00086.parquet,True,217887036,52,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00054-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00054-of-00086.parquet,True,190323883,54,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00080-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00080-of-00086.parquet,True,186001659,80,37207,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00085-of-00086.parquet,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\02_DATASETS\RAW_PARQUET\RETROSPECTIVE_AUDIT\train-00085-of-00086.parquet,True,496266956,85,37207,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00007-of-00086.parquet,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\train-00007-of-00086.parquet,True,119347100,7,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00022-of-00086.parquet,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\train-00022-of-00086.parquet,True,138085341,22,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00041-of-00086.parquet,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\train-00041-of-00086.parquet,True,85601395,41,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
