WF3_MODULE,ENTITY_TYPE,ENTITY_ID,CANONICAL_ID,CANONICAL_NAME,CANONICAL_FILE,CANONICAL_RELATIVE_PATH,DESTINATION_BUCKET,SIZE_BYTES,SHA256,SOURCE_AUTHORITY
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\SOURCE\02_F1_FINAL_STATUS_LEDGER.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/SOURCE/02_F1_FINAL_STATUS_LEDGER.csv,00_CONTROL,4034,637f34c0e03213890be19730b1832eb1f0ba04059b5d4bad2ee5791c2c742dc4,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\SOURCE\08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/SOURCE/08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv,00_CONTROL,2015,57c0f7f075772a1a715e12bccb0e59dd4aad7d09daf70f40880e92992558df43,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\SOURCE\13_LOCAL_FINAL_CONTENT_MANIFEST.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/SOURCE/13_LOCAL_FINAL_CONTENT_MANIFEST.csv,00_CONTROL,2494,98c75c45ae667b3c1f770eb05e67a1178a4247aafd6046a3793d3c893d8f90df,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\SOURCE\README_F1_FINAL.txt,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/SOURCE/README_F1_FINAL.txt,00_CONTROL,757,5a9509149e820c49d281ab184331319ff67007ca605ad435dd92f6a354ad6f11,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\02_INPUTS\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/02_INPUTS/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,02_INPUTS,2110934,159b6a0df406073be5bdf9b242cdd45fde0d7b6281252cef813b88cc8971c364,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\02_INPUTS\SOURCE\09_LOCAL_SOURCE_RESOLUTION.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/02_INPUTS/SOURCE/09_LOCAL_SOURCE_RESOLUTION.csv,02_INPUTS,1899,1fa43f106f5e5e9edf75b73b4135e04465a130a23df4d483d0e78f67a583ef49,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\02_INPUTS\SOURCE\10_UNAVAILABLE_SOURCE_LEDGER.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/02_INPUTS/SOURCE/10_UNAVAILABLE_SOURCE_LEDGER.csv,02_INPUTS,295,b1275221c8955835458eee7f106c8d3e79ebc637a6d301916da449866473fd6b,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\05_OUTPUTS\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/05_OUTPUTS/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,05_OUTPUTS,125986400,674e7aaac61ad5189dd2061c072547782af5fdf1a0785f6de7c5375fdba87033,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\05_OUTPUTS\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/05_OUTPUTS/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,05_OUTPUTS,63138359,6d67b8f0f164fbb3fc832da7cdbe9e5599a3d9c1876dad22fe139f7632351f23,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\07_ADJUDICATION\SOURCE\03_F1_FINAL_ADJUDICATION.md,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/SOURCE/03_F1_FINAL_ADJUDICATION.md,07_ADJUDICATION,2696,c0cc82b66c5fec34a67d10bb2cfe42cb5cd710f3d4a2333ada83d17c7f8a1208,PHASE8H_FROZEN_CANONICAL_CHAIN
