"TYPE","ID","SOURCE_FILE","DESTINATION_FILE","SIZE_BYTES","SHA256","COPY_VERIFIED"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\OLD_WF3_PREEXECUTION_ESTATE_SHA256.csv","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\OLD_WF3_PREEXECUTION_ESTATE_SHA256.csv","8425","28e0e67346985e8a32a3d119ec553df39b8f8d4fafbced403edd3b65ceac7936","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\WF3_BOUNDARY1_SEMANTIC_CORRECTION.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\WF3_BOUNDARY1_SEMANTIC_CORRECTION.json","2110","71b3b9554c5a7dfb66be223398203c974171accf0bbda1352df71da91a9c9ae3","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\WF3_PREEXECUTION_SUPERSESSION_RECORD.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\WF3_PREEXECUTION_SUPERSESSION_RECORD.json","1290","3ecfc8258d91844979e8c124a266f1b73419d7a269a44f33565f38cec9ccccdc","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\WF3_R2_CANONICAL_AUTHORITY_INTAKE.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\WF3_R2_CANONICAL_AUTHORITY_INTAKE.json","765","d1531351102db077cc4c2c161368a334ba258db6ea33c5ed737a226d78c9c219","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\WF3_R2_CANONICAL_AUTHORITY_INTAKE_R2.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\WF3_R2_CANONICAL_AUTHORITY_INTAKE_R2.json","1781","2fa1e8018d053499ffaa7c1c880484b5feebd7e3150cf40423240da154d9691c","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\WF3_R2_EXECUTION_PLAN.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\WF3_R2_EXECUTION_PLAN.json","1276","103f22a119cb74d14eb1d87a7a88d81bee947b704e5d049f0f53b4ede7f04e0b","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\00_CONTROL\WF3_R2_RUNNER_STATIC_VALIDATION.csv","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\00_CONTROL\WF3_R2_RUNNER_STATIC_VALIDATION.csv","347","9815756d7dc96f2d0994f0c7923bd8d7f7732c5c7df3c73bdba3d60220544f25","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\01_PROTOCOL\WF3_R2_ANALYSIS_SPEC_V15_V16.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\01_PROTOCOL\WF3_R2_ANALYSIS_SPEC_V15_V16.json","7872","aa8096a82f986bffd32f6878a8973fe31bbd620ac22f9125ff6ec9496653bdd6","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\01_PROTOCOL\WF3_R2_PREREGISTRATION.json","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\01_PROTOCOL\WF3_R2_PREREGISTRATION.json","2797","2e5fc6c86f17fd519400a8e252153bcb6177de017d8f80a8c994b957171bebbf","YES"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2\02_INPUTS\GENEALOGY_DIRECTIONALITY\WF3_V15_CANONICAL_REFERENCE_MANIFEST.csv","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2\02_INPUTS\GENEALOGY_DIRECTIONALITY\WF3_V15_CANONICAL_REFERENCE_MANIFEST.csv","1464793","0b1238ef2b6bb852492f478acae7bf234f4e521f373a7ab6b6499dcc4143d68f","YES"
