"TYPE","ID","PUBLICATION_FILES","PUBLICATION_BYTES","PUBLICATION_MB","SOURCE_PATH","STAGING_PATH","SOURCE_MAPPING_STATUS"
"RECONSTRUCTION","MASTER_CONTROL","77","54208860","51,698","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\00_RECONSTRUCTION\00_MASTER_CONTROL","PASS"
"RECONSTRUCTION","FINAL_FREEZE","21","5306731","5,061","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\00_RECONSTRUCTION\99_FINAL_FREEZE","PASS"
"CANONICAL_EXPERIMENT","EXP-001","32","14155340","13,5","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-001__V5_-_Forest_Forensic_Full","PASS"
"CANONICAL_EXPERIMENT","EXP-002","32","11686427","11,145","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\002_EXP-002__V6_Structural_Fingerprint_Vector","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-002__V6_-_Structural_Fingerprint_Vector","PASS"
"CANONICAL_EXPERIMENT","EXP-003","29","13409230","12,788","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-003__API_Fingerprint_Experiment_V1","PASS"
"CANONICAL_EXPERIMENT","EXP-004","19","9343929","8,911","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\005_EXP-004__API_Fingerprint_Experiment_V2","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-004__API_Fingerprint_Experiment_V2","PASS"
"CANONICAL_EXPERIMENT","EXP-005","32","11067219","10,555","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-005__V7_-_Cross-Model_Deployment_Localization","PASS"
"CANONICAL_EXPERIMENT","EXP-006","32","13971987","13,325","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-006__V8_-_Compositional_Structural_Control","PASS"
"CANONICAL_EXPERIMENT","EXP-007","33","10290654","9,814","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-007__V9_-_Representational_Transport_Operator","PASS"
"CANONICAL_EXPERIMENT","EXP-008","32","17346514","16,543","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair","PASS"
