"TYPE","ID","SOURCE","SOURCE_EXISTS","SOURCE_FILES","SOURCE_BYTES","DESTINATION","DESTINATION_EXISTS","MAPPING_STATUS"
"RECONSTRUCTION","MASTER_CONTROL","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL","YES","77","54208860","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\00_RECONSTRUCTION\00_MASTER_CONTROL","YES","PASS"
"RECONSTRUCTION","FINAL_FREEZE","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE","YES","21","5306731","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\00_RECONSTRUCTION\99_FINAL_FREEZE","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-001","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full","YES","32","14155340","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-001__V5_-_Forest_Forensic_Full","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-002","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\002_EXP-002__V6_Structural_Fingerprint_Vector","YES","32","11686427","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-002__V6_-_Structural_Fingerprint_Vector","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-003","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1","YES","30","15857155","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-003__API_Fingerprint_Experiment_V1","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-004","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\005_EXP-004__API_Fingerprint_Experiment_V2","YES","19","9343929","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-004__API_Fingerprint_Experiment_V2","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-005","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization","YES","32","11067219","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-005__V7_-_Cross-Model_Deployment_Localization","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-006","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control","YES","32","13971987","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-006__V8_-_Compositional_Structural_Control","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-007","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator","YES","33","10290654","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-007__V9_-_Representational_Transport_Operator","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-008","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair","YES","32","17346514","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair","YES","PASS"
